ReducedPer,ReducedCases,EfficientPer,EfficientCases
2.682074378269458848e+01,3.500000000000000000e+01,1.857243277605518017e+01,3.400000000000000000e+01
2.942498035848528648e+00,3.000000000000000000e+01,2.506898054577597534e+01,5.600000000000000000e+01
1.903248778237298566e+01,2.400000000000000000e+01,9.900164808095457403e+00,4.400000000000000000e+01
3.250230744472406741e+01,1.800000000000000000e+01,2.799903408312964803e+00,4.600000000000000000e+01
4.297252911714743995e+00,3.600000000000000000e+01,1.258872236346078033e+01,5.000000000000000000e+01
4.928220045153703666e+01,1.100000000000000000e+01,3.473773293236862258e+01,2.900000000000000000e+01
4.332149633967085833e+01,1.200000000000000000e+01,2.074725771493275417e+01,4.200000000000000000e+01
4.194955269291587285e+01,1.400000000000000000e+01,4.391402040462604361e+01,2.900000000000000000e+01
2.453379682296524678e+01,1.300000000000000000e+01,9.900498991290596962e+00,3.700000000000000000e+01
1.484163937442007963e+01,3.300000000000000000e+01,4.774496326187601625e+01,3.200000000000000000e+01
6.576352147862385422e+00,1.500000000000000000e+01,6.590300780757951671e+00,4.300000000000000000e+01
3.938161089019936867e+01,1.900000000000000000e+01,2.566522559382411472e+00,2.200000000000000000e+01
1.805486509612781276e+01,1.800000000000000000e+01,3.457333924526673208e+00,3.300000000000000000e+01
3.325761052134672724e+01,1.400000000000000000e+01,2.247318364634498522e+00,3.700000000000000000e+01
2.052979115716235814e+00,5.000000000000000000e+01,1.557144779385397726e+01,3.700000000000000000e+01
1.348137119403949313e+01,2.600000000000000000e+01,4.446535964479906511e+01,6.700000000000000000e+01
3.677398349013234480e+01,1.400000000000000000e+01,4.228603119188167625e+01,3.700000000000000000e+01
9.578355078779521747e+00,2.300000000000000000e+01,1.869446353520327619e+01,4.000000000000000000e+01
4.339867759864295493e+01,1.300000000000000000e+01,4.031735370409806052e+01,5.800000000000000000e+01
1.350655038286701171e+01,2.900000000000000000e+01,4.165992821997226514e+01,3.400000000000000000e+01
3.239717719919789118e+01,1.500000000000000000e+01,2.464789997913277020e+01,4.500000000000000000e+01
1.099914219982948183e+01,2.300000000000000000e+01,3.327912245160281657e+01,2.400000000000000000e+01
3.123883556288744501e+01,1.700000000000000000e+01,9.701296254699265376e+00,5.200000000000000000e+01
2.120546169343340281e+00,4.200000000000000000e+01,2.945289617354365319e+01,5.100000000000000000e+01
4.489560479521437486e+01,7.000000000000000000e+00,7.209132187917899337e+00,2.000000000000000000e+01
3.528356512506557152e+01,1.000000000000000000e+01,1.048472103214015405e+00,6.100000000000000000e+01
4.649728584816308086e+01,1.000000000000000000e+01,3.512667020914026494e+01,4.100000000000000000e+01
4.375651878412618601e+01,1.500000000000000000e+01,4.482610769622310443e+01,2.600000000000000000e+01
2.872071609664048708e+01,1.400000000000000000e+01,3.752440204599700735e+01,3.400000000000000000e+01
3.186528049638673821e+01,1.600000000000000000e+01,4.269215231336956151e+01,4.300000000000000000e+01
4.761588316306637125e+01,1.100000000000000000e+01,5.746320004656856995e+00,4.300000000000000000e+01
1.518033696048741632e+01,2.600000000000000000e+01,1.509692897736332284e+01,5.000000000000000000e+01
8.934740672067785994e+00,4.600000000000000000e+01,1.860521713115814890e+01,3.200000000000000000e+01
9.272754515963121946e+00,5.000000000000000000e+01,4.303416752147072089e+01,3.700000000000000000e+01
4.414507903913330722e+01,1.100000000000000000e+01,1.207075844699125966e+01,3.100000000000000000e+01
1.192447499122846111e+01,2.700000000000000000e+01,5.370015729707089847e+00,3.500000000000000000e+01
4.742239954769460297e+01,5.000000000000000000e+00,3.634155961296411164e+01,3.100000000000000000e+01
1.468692129847653050e+01,2.600000000000000000e+01,2.201809248998393187e+01,3.400000000000000000e+01
4.857286231860169501e+00,3.000000000000000000e+01,9.405433105470706323e-01,3.600000000000000000e+01
5.422828020551495598e+00,3.800000000000000000e+01,1.924467158637779107e+01,4.700000000000000000e+01
2.562155631616747087e+00,4.300000000000000000e+01,9.375434410145155439e+00,4.300000000000000000e+01
9.701821544240507578e+00,4.800000000000000000e+01,4.498719373210425942e+01,2.800000000000000000e+01
1.937188241435612213e+01,2.000000000000000000e+01,1.784244861670658366e+01,4.000000000000000000e+01
4.715175365546320307e+01,1.400000000000000000e+01,1.871598443081708041e+01,3.100000000000000000e+01
8.182445555637162471e+00,2.800000000000000000e+01,4.511999469875282998e+00,4.200000000000000000e+01
6.556901401001180574e-01,3.600000000000000000e+01,1.830980502690748857e+00,3.500000000000000000e+01
4.630559778530851389e+01,1.200000000000000000e+01,2.443581721744936175e+01,5.300000000000000000e+01
1.582481079936509616e+01,1.900000000000000000e+01,1.509690559913727803e+01,5.400000000000000000e+01
2.451130613913690226e+01,2.600000000000000000e+01,4.770724872225979851e+01,4.500000000000000000e+01
4.343020372293040765e+01,1.300000000000000000e+01,3.100609476290607702e+01,4.600000000000000000e+01
4.729828178791177606e+01,6.000000000000000000e+00,5.930774176018238641e+00,4.000000000000000000e+01
3.075612303228299993e+01,1.600000000000000000e+01,1.644640557375650758e+01,3.100000000000000000e+01
1.136386519703368414e+01,2.800000000000000000e+01,1.778577411293156274e+01,3.800000000000000000e+01
4.147335382804993031e+01,5.000000000000000000e+00,2.239631700058244235e+01,3.900000000000000000e+01
4.793601321670386284e+01,8.000000000000000000e+00,4.086802981223654285e+01,4.800000000000000000e+01
3.549889384348343668e+01,1.700000000000000000e+01,3.169024383169711712e+01,4.000000000000000000e+01
3.801330196120245120e+01,1.400000000000000000e+01,2.426607494821929478e+01,2.500000000000000000e+01
4.458114757769116032e+00,5.100000000000000000e+01,4.820744080585042468e+01,5.200000000000000000e+01
2.016126959694312148e+01,1.200000000000000000e+01,2.894386614112327649e+01,5.100000000000000000e+01
2.087330597284449141e+01,1.800000000000000000e+01,3.563429972979739091e+01,3.100000000000000000e+01
4.910027604606240459e+01,6.000000000000000000e+00,1.237685330253510685e+01,6.200000000000000000e+01
3.019890429210618876e+01,8.000000000000000000e+00,2.722235430742736639e+01,4.500000000000000000e+01
1.653951243703300023e+01,2.300000000000000000e+01,1.133259148879202094e+01,3.400000000000000000e+01
2.509712230383177456e+01,1.500000000000000000e+01,3.396491708587268121e+00,4.300000000000000000e+01
4.462733943140750625e+01,7.000000000000000000e+00,4.329060337247838675e+01,3.100000000000000000e+01
9.741360705317593016e+00,2.100000000000000000e+01,8.358990769659202513e+00,3.800000000000000000e+01
2.989390926251698133e+01,2.300000000000000000e+01,5.853214726171596105e+00,3.300000000000000000e+01
3.115653575485308835e+01,2.200000000000000000e+01,4.437583973532255044e+01,5.100000000000000000e+01
1.525788193074794030e+01,2.800000000000000000e+01,2.554287359341942221e+01,5.600000000000000000e+01
3.382766309266234117e+01,9.000000000000000000e+00,4.260153807459805364e+01,4.000000000000000000e+01
4.640368952607719422e+01,4.000000000000000000e+00,4.440370468218355171e+01,4.300000000000000000e+01
3.156512385032090862e+01,1.700000000000000000e+01,4.625831086878385179e+00,3.200000000000000000e+01
3.327265804196593990e+01,2.000000000000000000e+01,1.975669959758317162e+01,3.200000000000000000e+01
3.557269579181083685e+01,1.700000000000000000e+01,2.357118679353895629e+01,4.500000000000000000e+01
3.571203301386829310e+01,1.200000000000000000e+01,3.618365722378334226e+01,4.400000000000000000e+01
7.566541937345161450e+00,3.900000000000000000e+01,4.158744393493272185e+01,3.600000000000000000e+01
1.288158326171167190e+01,3.600000000000000000e+01,2.763437491907652088e+01,3.300000000000000000e+01
2.496578224960532921e+01,2.000000000000000000e+01,4.557900607268445725e+01,3.900000000000000000e+01
1.091827216882914620e+01,3.300000000000000000e+01,1.085750313668543043e+01,4.000000000000000000e+01
1.504495871351236858e+01,3.700000000000000000e+01,2.987364073423526278e+00,2.900000000000000000e+01
4.921398887810758538e+01,1.100000000000000000e+01,8.330752508976734916e+00,3.100000000000000000e+01
4.443463908495309056e+01,8.000000000000000000e+00,2.824264478693705449e+00,3.300000000000000000e+01
2.316027703888353528e+01,2.400000000000000000e+01,2.980192375379786540e+00,3.300000000000000000e+01
3.749628741083764538e+01,1.800000000000000000e+01,3.524000169609342947e+01,4.700000000000000000e+01
4.425207819881865845e+01,1.300000000000000000e+01,3.214242214409299692e+01,4.600000000000000000e+01
1.092863737462612761e+01,2.000000000000000000e+01,4.187834877307472681e+01,5.000000000000000000e+01
1.341490789401724726e+01,3.000000000000000000e+01,4.503094402711743527e+01,4.000000000000000000e+01
4.750246867932592920e+01,9.000000000000000000e+00,3.030984879088869377e+01,3.600000000000000000e+01
4.279690173405561637e+01,7.000000000000000000e+00,4.588270090942787505e+01,3.700000000000000000e+01
3.458095050539811410e+01,1.100000000000000000e+01,3.566252663306104154e+01,6.900000000000000000e+01
3.882211931305952390e+01,1.100000000000000000e+01,2.178396780809177535e+00,3.400000000000000000e+01
1.029764715954028986e+01,3.600000000000000000e+01,1.487068425106955516e+01,4.100000000000000000e+01
4.421587328434299025e+01,1.200000000000000000e+01,3.957824298945944452e+00,2.300000000000000000e+01
5.231783842329440049e+00,2.500000000000000000e+01,4.049182584694479203e+01,6.000000000000000000e+01
4.950344752302000728e+01,6.000000000000000000e+00,1.033925336430985276e-01,3.700000000000000000e+01
1.595116384479799976e+01,2.300000000000000000e+01,5.440186107986311193e+00,3.100000000000000000e+01
1.996471582147303536e+01,3.000000000000000000e+01,3.708348528339822092e+00,4.800000000000000000e+01
1.453330525251792515e+01,2.700000000000000000e+01,1.158564372335741943e+01,4.700000000000000000e+01
4.890695633853680846e+01,5.000000000000000000e+00,2.076765407927798535e+01,4.300000000000000000e+01
1.800772079138758386e+01,1.400000000000000000e+01,1.624960650386118033e+01,6.800000000000000000e+01
6.933103413870767007e+00,2.100000000000000000e+01,6.854910575198736034e+00,2.800000000000000000e+01
4.460838919820844239e+01,9.000000000000000000e+00,2.678091755707012744e+00,5.300000000000000000e+01
3.449739234587840997e+01,1.400000000000000000e+01,1.735602078854078201e+01,4.100000000000000000e+01
3.615030383259454538e+01,7.000000000000000000e+00,9.576650051712976008e+00,2.300000000000000000e+01
1.750596941757237701e+01,2.500000000000000000e+01,1.685929485165549302e-01,3.600000000000000000e+01
1.342173333561704851e+01,2.600000000000000000e+01,1.884367596136916490e+01,3.500000000000000000e+01
4.711994690241997574e+01,7.000000000000000000e+00,1.865741216548957482e+01,3.400000000000000000e+01
3.350068912996506754e+01,1.100000000000000000e+01,4.640436430408922952e+00,3.600000000000000000e+01
3.908701631551154776e+01,9.000000000000000000e+00,2.845216672354060705e+01,4.000000000000000000e+01
9.522802689768639084e+00,3.500000000000000000e+01,2.397850687404947578e+01,2.700000000000000000e+01
3.755957638731020154e+01,1.600000000000000000e+01,2.798725709480975965e+01,4.500000000000000000e+01
3.416155904880457683e+01,2.000000000000000000e+01,1.572070161998428972e+00,2.700000000000000000e+01
3.859944589335895238e+00,3.500000000000000000e+01,2.254548791722188383e+01,6.400000000000000000e+01
3.333728112721574632e+01,1.000000000000000000e+01,4.286361146944266665e+01,2.700000000000000000e+01
3.964674158473928856e+01,5.000000000000000000e+00,8.828941576580650263e+00,4.400000000000000000e+01
2.312314889678479446e+01,2.800000000000000000e+01,4.605338960122345071e+01,3.800000000000000000e+01
1.065879240809550765e+01,2.200000000000000000e+01,2.796747967908725840e+01,2.000000000000000000e+01
4.706750772386306636e+01,1.400000000000000000e+01,4.767885954931554693e+01,3.200000000000000000e+01
1.001173385923872416e+01,3.700000000000000000e+01,2.580812368158391479e+01,3.700000000000000000e+01
1.184973780431328727e+01,1.600000000000000000e+01,3.075660826834900519e+01,3.300000000000000000e+01
4.294129368733713648e+01,8.000000000000000000e+00,2.405774236606039551e+01,6.100000000000000000e+01
4.709260528686376901e+00,3.000000000000000000e+01,1.004973142687670773e+01,4.400000000000000000e+01
1.964974792075120291e+01,1.800000000000000000e+01,2.396821063644893712e+01,4.700000000000000000e+01
1.450208839631300606e+01,2.100000000000000000e+01,4.084798763193360571e+01,4.500000000000000000e+01
1.473604266227659387e+01,3.100000000000000000e+01,3.211990686906413828e+01,4.700000000000000000e+01
5.353192545826757076e+00,3.000000000000000000e+01,1.011193122019444779e+01,4.600000000000000000e+01
3.607163530306669941e+01,2.300000000000000000e+01,3.316148074761579778e+01,3.000000000000000000e+01
1.863026407625145708e+00,5.100000000000000000e+01,2.288737902605615204e+01,3.700000000000000000e+01
2.045488025463697568e+01,1.800000000000000000e+01,2.736111722562600690e+01,4.700000000000000000e+01
1.113409596885083275e+01,3.600000000000000000e+01,3.191661852936833466e+00,4.400000000000000000e+01
3.485895143447606870e+01,1.200000000000000000e+01,2.442399725113082454e+01,3.900000000000000000e+01
1.374343017078412110e+01,3.500000000000000000e+01,3.026863490026718750e+01,4.200000000000000000e+01
3.094840607211468608e+01,1.600000000000000000e+01,4.909803260058611585e+01,3.700000000000000000e+01
2.421591343489815173e+01,1.200000000000000000e+01,1.498592512937764099e+01,4.400000000000000000e+01
4.020618581694223792e+01,1.000000000000000000e+01,4.170659399106947518e+01,4.400000000000000000e+01
3.522466494599940745e+01,1.800000000000000000e+01,3.492670106647861417e+01,4.000000000000000000e+01
2.110395693509681259e+00,2.600000000000000000e+01,3.173298859084261636e+01,5.100000000000000000e+01
4.764564701813511505e+01,8.000000000000000000e+00,6.528090064152625160e+00,3.600000000000000000e+01
1.116372457229937254e+01,3.900000000000000000e+01,1.469802888163835775e+01,3.800000000000000000e+01
2.181133308631459755e+01,1.700000000000000000e+01,3.151933480946014043e+01,5.800000000000000000e+01
1.393683878484659466e+01,2.100000000000000000e+01,4.709303249814840342e+01,4.200000000000000000e+01
3.261199925470398142e+01,1.800000000000000000e+01,1.969913416332054368e+01,4.400000000000000000e+01
1.885254196022325601e+01,1.400000000000000000e+01,2.424962169276091473e+01,2.600000000000000000e+01
8.627231910411282456e+00,4.300000000000000000e+01,4.308098466241172275e+01,4.100000000000000000e+01
4.931141579014665410e+01,4.000000000000000000e+00,8.813176594352810866e+00,4.500000000000000000e+01
1.839751868416801273e+01,1.600000000000000000e+01,3.051774843924670577e+01,3.000000000000000000e+01
3.671684745622154367e+01,1.900000000000000000e+01,1.844354275125121845e+01,2.700000000000000000e+01
3.753972065569936944e+01,1.200000000000000000e+01,1.606003308471715130e-01,4.700000000000000000e+01
8.929963110929772796e+00,2.600000000000000000e+01,2.362523433485776891e+01,3.800000000000000000e+01
4.718534951922377729e+01,1.000000000000000000e+01,2.861976857667716345e+01,4.600000000000000000e+01
1.384907167102003100e+01,2.800000000000000000e+01,5.664389716429818478e+00,3.700000000000000000e+01
4.715343214308900599e+01,1.200000000000000000e+01,8.472649204755589025e+00,2.900000000000000000e+01
1.693073630377195471e+01,2.100000000000000000e+01,8.482046115602138059e+00,4.100000000000000000e+01
2.387793279699184268e+01,1.800000000000000000e+01,2.411993283107238817e+00,3.900000000000000000e+01
2.827223578774380286e+01,1.300000000000000000e+01,1.279142386521980868e+01,3.800000000000000000e+01
4.264310747757394893e+01,1.700000000000000000e+01,3.431997218840596986e+01,5.200000000000000000e+01
3.644615745512702620e+00,2.300000000000000000e+01,4.154740312987792450e-01,4.200000000000000000e+01
1.560182659446325282e+01,3.800000000000000000e+01,4.147342312000702691e+01,4.100000000000000000e+01
3.278994501855417809e+01,2.600000000000000000e+01,4.487998662953908990e+01,3.900000000000000000e+01
4.685383696494859862e+00,3.200000000000000000e+01,4.404429979516892502e+01,3.000000000000000000e+01
8.646660113283299864e-01,5.000000000000000000e+01,3.954317610733668431e+01,7.000000000000000000e+01
4.406411547292047004e+01,1.000000000000000000e+01,3.139153571148891686e+01,4.800000000000000000e+01
1.550363167683005372e+01,1.500000000000000000e+01,4.977578687084081110e+01,4.200000000000000000e+01
3.898124110873006742e+01,1.400000000000000000e+01,2.892967867440388119e+01,3.000000000000000000e+01
1.230777848442736655e+01,2.500000000000000000e+01,4.658462672309161690e+01,4.500000000000000000e+01
2.557271965576515171e+01,1.600000000000000000e+01,3.058325752835558831e+01,2.900000000000000000e+01
2.141723377267529216e+01,1.500000000000000000e+01,9.862274100990731540e+00,4.000000000000000000e+01
4.814999542019891265e+01,5.000000000000000000e+00,2.100059541040968369e+01,4.900000000000000000e+01
2.306103355637949548e+01,1.900000000000000000e+01,2.651018383012825197e+01,4.200000000000000000e+01
3.907391914655637777e+01,1.200000000000000000e+01,2.745973522016822344e+01,2.800000000000000000e+01
1.111690543048968749e+01,2.100000000000000000e+01,2.645701072506633267e+01,4.200000000000000000e+01
4.289317143890534112e+01,5.000000000000000000e+00,4.549189772959649503e+01,3.700000000000000000e+01
8.215821274923239770e+00,3.000000000000000000e+01,3.531731536459697907e+01,4.700000000000000000e+01
4.471110718822080088e+01,1.600000000000000000e+01,1.597410827722848303e+01,3.900000000000000000e+01
4.793705408154193037e+01,5.000000000000000000e+00,3.882721975207050491e+01,6.000000000000000000e+01
3.974420974793581962e+01,1.900000000000000000e+01,2.183496735897844232e+01,3.700000000000000000e+01
2.342309386645549196e+01,1.700000000000000000e+01,3.503564297959671503e+00,2.900000000000000000e+01
4.409135521883198550e+01,5.000000000000000000e+00,3.938421565495563215e+01,4.100000000000000000e+01
4.129377769962508182e+01,1.000000000000000000e+01,4.328860467728483741e+01,4.800000000000000000e+01
1.532595143517974101e+01,2.800000000000000000e+01,2.091286990226354092e+01,4.300000000000000000e+01
2.124442931084358221e+00,3.800000000000000000e+01,2.986951324331574753e+01,3.800000000000000000e+01
6.694852315754840077e+00,3.200000000000000000e+01,3.229030708117539916e+01,3.000000000000000000e+01
1.973512413875366800e+00,4.200000000000000000e+01,3.933510143994553943e+01,4.800000000000000000e+01
2.477079793706987587e+01,1.900000000000000000e+01,7.177209985502885914e+00,4.700000000000000000e+01
3.440611715991146724e+01,1.200000000000000000e+01,7.419300895282177066e+00,3.200000000000000000e+01
1.389229940826424148e+01,2.400000000000000000e+01,3.371063978931083938e+01,3.700000000000000000e+01
4.819256539642729109e+01,1.100000000000000000e+01,3.963644986913104162e+01,4.300000000000000000e+01
3.496675181511152886e+01,1.400000000000000000e+01,6.059690640849391130e+00,3.000000000000000000e+01
1.384764274279937091e+00,4.500000000000000000e+01,3.416894786732238742e+01,3.100000000000000000e+01
2.454345741893217792e+01,2.300000000000000000e+01,2.189985628252606631e+01,3.800000000000000000e+01
1.037094929395427911e+01,2.700000000000000000e+01,1.252357622445403607e+01,3.500000000000000000e+01
2.219787868808147380e+01,1.300000000000000000e+01,6.287364283536511778e+00,3.300000000000000000e+01
4.233894843373309413e+01,1.100000000000000000e+01,2.080124363122044429e+01,4.200000000000000000e+01
4.777457570670313913e+01,6.000000000000000000e+00,1.210473451506954845e+01,3.500000000000000000e+01
4.598869319021232371e+01,7.000000000000000000e+00,2.571137878145624001e+00,3.300000000000000000e+01
4.139730519090125682e+01,1.400000000000000000e+01,2.850392481059262906e+01,3.500000000000000000e+01
3.795937755369816102e+01,1.400000000000000000e+01,3.923819554513610086e+01,4.400000000000000000e+01
1.068442772227186133e+01,3.200000000000000000e+01,1.845119331461981815e+01,3.800000000000000000e+01
3.120885475073627191e+01,1.700000000000000000e+01,4.875525808837208785e+01,4.600000000000000000e+01
7.457104638413158959e+00,3.800000000000000000e+01,4.953075056799334419e+01,4.000000000000000000e+01
2.148699730528334939e+01,1.600000000000000000e+01,3.331256153502091166e+01,3.400000000000000000e+01
1.070725183308924855e+01,2.000000000000000000e+01,1.525196719672147161e+01,4.500000000000000000e+01
2.019168743282386913e+01,2.800000000000000000e+01,1.344046534158676032e+01,4.000000000000000000e+01
2.305982421476036137e+01,2.400000000000000000e+01,1.203042197468145957e+01,4.200000000000000000e+01
1.558256652439404810e+00,3.700000000000000000e+01,4.486896098647144271e+01,4.900000000000000000e+01
3.342169749967283110e+01,2.400000000000000000e+01,1.818621111435036042e+01,3.700000000000000000e+01
